t,MV,PV,DV
5.500000000000000000e+01,4.048962842605023127e+01,3.121099999999999852e+01,2.766600000000000037e+01
5.600000000000000000e+01,4.086064504011216769e+01,3.121099999999999852e+01,2.805300000000000082e+01
5.700000000000000000e+01,4.053228410843865248e+01,3.130799999999999983e+01,2.827799999999999869e+01
5.800000000000000000e+01,3.929848419168372686e+01,3.153300000000000125e+01,2.837500000000000000e+01
5.900000000000000000e+01,3.956814030848205022e+01,3.156500000000000128e+01,2.860099999999999909e+01
6.000000000000000000e+01,3.857066420017426367e+01,3.175900000000000034e+01,2.840700000000000003e+01
6.100000000000000000e+01,3.824708741404977985e+01,3.185500000000000043e+01,2.834299999999999997e+01
6.200000000000000000e+01,3.864230526221928130e+01,3.185500000000000043e+01,2.872899999999999920e+01
6.300000000000000000e+01,3.727111584286777202e+01,3.211299999999999955e+01,2.892299999999999827e+01
6.400000000000000000e+01,3.715661112175738623e+01,3.217799999999999727e+01,2.924500000000000099e+01
6.500000000000000000e+01,3.685573171696924533e+01,3.227400000000000091e+01,2.930999999999999872e+01
6.600000000000000000e+01,3.561960144932830019e+01,3.250000000000000000e+01,2.934199999999999875e+01
6.700000000000000000e+01,3.605428861927556738e+01,3.250000000000000000e+01,2.947100000000000009e+01
6.800000000000000000e+01,3.613577599872316171e+01,3.256400000000000006e+01,2.953500000000000014e+01
6.900000000000000000e+01,3.495449119325361664e+01,3.278999999999999915e+01,2.979299999999999926e+01
7.000000000000000000e+01,3.509561615727081119e+01,3.282200000000000273e+01,2.992200000000000060e+01
7.100000000000000000e+01,3.552841985795652135e+01,3.282200000000000273e+01,2.963200000000000145e+01
7.200000000000000000e+01,3.420366165443304851e+01,3.304800000000000182e+01,3.021199999999999974e+01
7.300000000000000000e+01,3.394952341238624172e+01,3.314500000000000313e+01,3.005099999999999838e+01
7.400000000000000000e+01,3.443447773222489161e+01,3.314500000000000313e+01,3.034100000000000108e+01
7.500000000000000000e+01,3.366287199527064899e+01,3.330599999999999739e+01,3.034100000000000108e+01
7.600000000000000000e+01,3.316100667713823213e+01,3.343500000000000227e+01,3.063100000000000023e+01
7.700000000000000000e+01,3.332480441772399615e+01,3.346699999999999875e+01,3.082400000000000162e+01
7.800000000000000000e+01,3.327956968785492364e+01,3.353099999999999881e+01,3.056599999999999895e+01
7.900000000000000000e+01,3.215432296995934536e+01,3.375699999999999790e+01,3.059900000000000020e+01
8.000000000000000000e+01,3.221046047467917361e+01,3.378900000000000148e+01,3.108200000000000074e+01
8.100000000000000000e+01,3.274299683427736340e+01,3.378900000000000148e+01,3.101800000000000068e+01
8.200000000000000000e+01,3.238133430931820556e+01,3.388600000000000279e+01,3.130799999999999983e+01
8.300000000000000000e+01,3.139370646915106988e+01,3.407900000000000063e+01,3.150100000000000122e+01
8.400000000000000000e+01,3.152957542287879278e+01,3.411099999999999710e+01,3.146900000000000119e+01
8.500000000000000000e+01,3.192582103155620743e+01,3.411099999999999710e+01,3.172700000000000031e+01
8.600000000000000000e+01,3.197232240620367705e+01,3.417600000000000193e+01,3.182300000000000040e+01
8.700000000000000000e+01,3.046896992769208978e+01,3.443399999999999750e+01,3.166199999999999903e+01
8.800000000000000000e+01,3.077175221836605346e+01,3.443399999999999750e+01,3.211299999999999955e+01
8.900000000000000000e+01,3.124147330938577127e+01,3.443399999999999750e+01,3.204899999999999949e+01
9.000000000000000000e+01,3.060884980852088688e+01,3.456300000000000239e+01,3.224199999999999733e+01
9.100000000000000000e+01,3.001779846668374319e+01,3.469100000000000250e+01,3.240299999999999869e+01
9.200000000000000000e+01,2.997906473965964125e+01,3.475600000000000023e+01,3.246800000000000352e+01
9.300000000000000000e+01,3.032591703365538649e+01,3.475600000000000023e+01,3.217799999999999727e+01
9.400000000000000000e+01,3.071197875128168064e+01,3.475600000000000023e+01,3.259700000000000131e+01
9.500000000000000000e+01,3.044382554441882860e+01,3.485300000000000153e+01,3.278999999999999915e+01
9.600000000000000000e+01,2.924860971018972933e+01,3.504599999999999937e+01,3.282200000000000273e+01
9.700000000000000000e+01,2.944720267046372797e+01,3.507800000000000296e+01,3.285399999999999920e+01
9.800000000000000000e+01,2.979126229930997027e+01,3.507800000000000296e+01,3.307999999999999829e+01
9.900000000000000000e+01,3.013161918187767441e+01,3.507800000000000296e+01,3.317699999999999960e+01
1.000000000000000000e+02,2.976234472815421128e+01,3.517499999999999716e+01,3.320900000000000318e+01
1.010000000000000000e+02,2.903493819261076681e+01,3.533599999999999852e+01,3.340200000000000102e+01
1.020000000000000000e+02,2.880834575099468609e+01,3.539999999999999858e+01,3.314500000000000313e+01
1.030000000000000000e+02,2.913104325635571001e+01,3.539999999999999858e+01,3.353099999999999881e+01
1.040000000000000000e+02,2.924681564950121526e+01,3.543299999999999983e+01,3.349900000000000233e+01
1.050000000000000000e+02,2.839397020099261582e+01,3.559400000000000119e+01,3.346699999999999875e+01
1.060000000000000000e+02,2.797364648873333337e+01,3.568999999999999773e+01,3.385399999999999920e+01
1.070000000000000000e+02,2.806943125014376150e+01,3.572299999999999898e+01,3.385399999999999920e+01
1.080000000000000000e+02,2.842735729523546695e+01,3.572299999999999898e+01,3.378900000000000148e+01
1.090000000000000000e+02,2.871888632063027558e+01,3.572299999999999898e+01,3.411099999999999710e+01
1.100000000000000000e+02,2.818209288417608605e+01,3.585199999999999676e+01,3.417600000000000193e+01
1.110000000000000000e+02,2.719577721606517429e+01,3.601299999999999812e+01,3.417600000000000193e+01
1.120000000000000000e+02,2.732761024221167645e+01,3.604500000000000171e+01,3.430499999999999972e+01
1.130000000000000000e+02,2.769392278807173113e+01,3.604500000000000171e+01,3.411099999999999710e+01
1.140000000000000000e+02,2.790677088099493020e+01,3.604500000000000171e+01,3.436899999999999977e+01
1.150000000000000000e+02,2.823656003165782025e+01,3.604500000000000171e+01,3.469100000000000250e+01
1.160000000000000000e+02,2.712894838460211133e+01,3.623799999999999955e+01,3.465899999999999892e+01
1.170000000000000000e+02,2.662783712318697837e+01,3.633500000000000085e+01,3.482000000000000028e+01
1.180000000000000000e+02,2.670164750775623119e+01,3.636699999999999733e+01,3.446600000000000108e+01
1.190000000000000000e+02,2.703159005130852677e+01,3.636699999999999733e+01,3.494899999999999807e+01
1.200000000000000000e+02,2.730768671747097187e+01,3.636699999999999733e+01,3.498100000000000165e+01
1.210000000000000000e+02,2.719486110873038243e+01,3.643200000000000216e+01,3.475600000000000023e+01
1.220000000000000000e+02,2.669697964517545330e+01,3.652799999999999869e+01,3.520700000000000074e+01
1.230000000000000000e+02,2.568906494102232330e+01,3.668900000000000006e+01,3.536800000000000210e+01
