t,MV,PV,DV
2.100000000000000000e+02,2.369293215212957904e+01,3.668900000000000006e+01,3.636699999999999733e+01
2.110000000000000000e+02,2.410799594393381184e+01,3.668900000000000006e+01,3.675399999999999778e+01
2.120000000000000000e+02,2.451558580629140494e+01,3.668900000000000006e+01,3.652799999999999869e+01
2.130000000000000000e+02,2.491598975167582708e+01,3.668900000000000006e+01,3.646399999999999864e+01
2.140000000000000000e+02,2.482109246005824232e+01,3.675399999999999778e+01,3.668900000000000006e+01
2.150000000000000000e+02,2.521665739069133494e+01,3.675399999999999778e+01,3.688300000000000267e+01
2.160000000000000000e+02,2.439574818945897405e+01,3.691499999999999915e+01,3.704399999999999693e+01
2.170000000000000000e+02,2.407079482719116470e+01,3.701200000000000045e+01,3.694700000000000273e+01
2.180000000000000000e+02,2.448048750170073262e+01,3.701200000000000045e+01,3.694700000000000273e+01
2.190000000000000000e+02,2.488270646314144940e+01,3.701200000000000045e+01,3.707600000000000051e+01
2.200000000000000000e+02,2.527773971564852928e+01,3.701200000000000045e+01,3.685099999999999909e+01
2.210000000000000000e+02,2.542542491139501237e+01,3.704399999999999693e+01,3.730199999999999960e+01
2.220000000000000000e+02,2.460148615142578521e+01,3.720499999999999829e+01,3.720499999999999829e+01
2.230000000000000000e+02,2.427343433778450077e+01,3.730199999999999960e+01,3.733400000000000318e+01
2.240000000000000000e+02,2.443952306955863918e+01,3.733400000000000318e+01,3.723700000000000188e+01
2.250000000000000000e+02,2.484280300987668255e+01,3.733400000000000318e+01,3.714099999999999824e+01
2.260000000000000000e+02,2.523865023298510479e+01,3.733400000000000318e+01,3.739800000000000324e+01
2.270000000000000000e+02,2.562735116321843876e+01,3.733400000000000318e+01,3.739800000000000324e+01
2.280000000000000000e+02,2.552830268028211336e+01,3.739800000000000324e+01,3.710799999999999699e+01
2.290000000000000000e+02,2.542371304592771963e+01,3.746300000000000097e+01,3.727000000000000313e+01
2.300000000000000000e+02,2.508067379266650931e+01,3.756000000000000227e+01,3.733400000000000318e+01
2.310000000000000000e+02,2.475130897364990545e+01,3.765599999999999881e+01,3.768800000000000239e+01
2.320000000000000000e+02,2.514898908099477381e+01,3.765599999999999881e+01,3.768800000000000239e+01
2.330000000000000000e+02,2.553924614134024296e+01,3.765599999999999881e+01,3.772099999999999653e+01
2.340000000000000000e+02,2.592236620637334354e+01,3.765599999999999881e+01,3.759199999999999875e+01
2.350000000000000000e+02,2.629862430460319800e+01,3.765599999999999881e+01,3.772099999999999653e+01
2.360000000000000000e+02,2.666828486614597438e+01,3.765599999999999881e+01,3.791400000000000148e+01
2.370000000000000000e+02,2.557393915652086491e+01,3.785000000000000142e+01,3.785000000000000142e+01
2.380000000000000000e+02,2.498789103174753023e+01,3.797899999999999920e+01,3.794599999999999795e+01
2.390000000000000000e+02,2.538141499913831112e+01,3.797899999999999920e+01,3.785000000000000142e+01
2.400000000000000000e+02,2.576746931600751012e+01,3.797899999999999920e+01,3.797899999999999920e+01
2.410000000000000000e+02,2.614634182993757960e+01,3.797899999999999920e+01,3.765599999999999881e+01
2.420000000000000000e+02,2.651830929612713561e+01,3.797899999999999920e+01,3.801100000000000279e+01
2.430000000000000000e+02,2.688363780484279886e+01,3.797899999999999920e+01,3.804299999999999926e+01
2.440000000000000000e+02,2.652126543176236950e+01,3.807500000000000284e+01,3.807500000000000284e+01
2.450000000000000000e+02,2.664650248222368845e+01,3.810699999999999932e+01,3.785000000000000142e+01
2.460000000000000000e+02,2.725044941671858822e+01,3.807500000000000284e+01,3.823599999999999710e+01
2.470000000000000000e+02,2.711488061908043790e+01,3.814000000000000057e+01,3.823599999999999710e+01
2.480000000000000000e+02,2.626074412658795154e+01,3.830100000000000193e+01,3.826899999999999835e+01
2.490000000000000000e+02,2.663178817026590650e+01,3.830100000000000193e+01,3.826899999999999835e+01
2.500000000000000000e+02,2.699602271832345224e+01,3.830100000000000193e+01,3.830100000000000193e+01
2.510000000000000000e+02,2.735371017886740930e+01,3.830100000000000193e+01,3.810699999999999932e+01
2.520000000000000000e+02,2.722422434085562770e+01,3.836500000000000199e+01,3.833299999999999841e+01
2.530000000000000000e+02,2.781858275241810574e+01,3.833299999999999841e+01,3.810699999999999932e+01
2.540000000000000000e+02,2.816202201095284963e+01,3.833299999999999841e+01,3.797899999999999920e+01
2.550000000000000000e+02,2.874013431055282553e+01,3.830100000000000193e+01,3.836500000000000199e+01
2.560000000000000000e+02,2.785826400090626009e+01,3.846200000000000330e+01,3.807500000000000284e+01
2.570000000000000000e+02,2.844297915929659126e+01,3.842999999999999972e+01,3.855899999999999750e+01
2.580000000000000000e+02,2.756737468606375430e+01,3.859100000000000108e+01,3.830100000000000193e+01
2.590000000000000000e+02,2.767715313876504979e+01,3.862299999999999756e+01,3.849399999999999977e+01
2.600000000000000000e+02,2.802546761994915059e+01,3.862299999999999756e+01,3.830100000000000193e+01
2.610000000000000000e+02,2.836764238039815211e+01,3.862299999999999756e+01,3.862299999999999756e+01
2.620000000000000000e+02,2.870391401803123443e+01,3.862299999999999756e+01,3.865500000000000114e+01
2.630000000000000000e+02,2.903451001332110337e+01,3.862299999999999756e+01,3.855899999999999750e+01
2.640000000000000000e+02,2.935964908064034162e+01,3.862299999999999756e+01,3.868800000000000239e+01
2.650000000000000000e+02,2.967954150606853858e+01,3.862299999999999756e+01,3.852600000000000335e+01
2.660000000000000000e+02,2.805584799047105804e+01,3.888100000000000023e+01,3.859100000000000108e+01
2.670000000000000000e+02,2.791955029305850289e+01,3.894500000000000028e+01,3.846200000000000330e+01
2.680000000000000000e+02,2.826654881377515949e+01,3.894500000000000028e+01,3.846200000000000330e+01
2.690000000000000000e+02,2.860725220230202126e+01,3.894500000000000028e+01,3.881600000000000250e+01
2.700000000000000000e+02,2.894190304543440106e+01,3.894500000000000028e+01,3.888100000000000023e+01
2.710000000000000000e+02,2.927073458173606468e+01,3.894500000000000028e+01,3.881600000000000250e+01
2.720000000000000000e+02,2.959397106177909720e+01,3.894500000000000028e+01,3.891299999999999670e+01
2.730000000000000000e+02,2.870211810010088627e+01,3.910600000000000165e+01,3.891299999999999670e+01
2.740000000000000000e+02,2.878843081473507937e+01,3.913900000000000290e+01,3.862299999999999756e+01
2.750000000000000000e+02,2.864033387185303070e+01,3.920300000000000296e+01,3.900999999999999801e+01
2.760000000000000000e+02,2.848743045023124409e+01,3.926800000000000068e+01,3.862299999999999756e+01
2.770000000000000000e+02,2.882561525862674046e+01,3.926800000000000068e+01,3.862299999999999756e+01
2.780000000000000000e+02,2.915763781372944052e+01,3.926800000000000068e+01,3.904200000000000159e+01
2.790000000000000000e+02,2.948373558176452391e+01,3.926800000000000068e+01,3.878399999999999892e+01
2.800000000000000000e+02,2.980413687804996670e+01,3.926800000000000068e+01,3.913900000000000290e+01
2.810000000000000000e+02,2.963818271254136505e+01,3.933200000000000074e+01,3.913900000000000290e+01
2.820000000000000000e+02,2.922758837667014831e+01,3.942900000000000205e+01,3.894500000000000028e+01
2.830000000000000000e+02,2.955339310395143571e+01,3.942900000000000205e+01,3.929999999999999716e+01
2.840000000000000000e+02,2.866369959618734953e+01,3.959000000000000341e+01,3.926800000000000068e+01
2.850000000000000000e+02,2.899973170473279538e+01,3.959000000000000341e+01,3.933200000000000074e+01
2.860000000000000000e+02,2.932947839279811220e+01,3.959000000000000341e+01,3.933200000000000074e+01
2.870000000000000000e+02,2.965318187293189922e+01,3.959000000000000341e+01,3.933200000000000074e+01
2.880000000000000000e+02,2.997107502387302702e+01,3.959000000000000341e+01,3.933200000000000074e+01
2.890000000000000000e+02,3.028338175023478129e+01,3.959000000000000341e+01,3.897800000000000153e+01
