t,MV,PV,DV
1.730000000000000000e+02,7.535713247487595368e+01,5.151400000000000290e+01,4.603499999999999659e+01
1.740000000000000000e+02,7.520938051465932972e+01,5.151400000000000290e+01,4.642199999999999704e+01
1.750000000000000000e+02,7.494431830343523870e+01,5.151400000000000290e+01,4.616400000000000148e+01
1.760000000000000000e+02,7.477798032062761990e+01,5.180400000000000205e+01,4.671200000000000330e+01
1.770000000000000000e+02,7.449337465982989670e+01,5.183599999999999852e+01,4.661500000000000199e+01
1.780000000000000000e+02,7.432812883921306479e+01,5.183599999999999852e+01,4.674399999999999977e+01
1.790000000000000000e+02,7.401173334203082277e+01,5.193299999999999983e+01,4.690500000000000114e+01
1.800000000000000000e+02,7.381366069971663535e+01,5.215800000000000125e+01,4.693800000000000239e+01
1.810000000000000000e+02,7.366168147624978246e+01,5.215800000000000125e+01,4.706600000000000250e+01
1.820000000000000000e+02,7.334772691964579394e+01,5.215800000000000125e+01,4.735600000000000165e+01
1.830000000000000000e+02,7.325137318000153641e+01,5.225500000000000256e+01,4.738900000000000290e+01
1.840000000000000000e+02,7.288511246550180545e+01,5.244800000000000040e+01,4.742099999999999937e+01
1.850000000000000000e+02,7.273412713630200699e+01,5.247999999999999687e+01,4.771099999999999852e+01
1.860000000000000000e+02,7.250954141147954601e+01,5.247999999999999687e+01,4.771099999999999852e+01
1.870000000000000000e+02,7.227448363229953543e+01,5.264200000000000301e+01,4.774300000000000210e+01
1.880000000000000000e+02,7.208328249090109807e+01,5.273799999999999955e+01,4.764600000000000080e+01
1.890000000000000000e+02,7.186142562188118177e+01,5.280299999999999727e+01,4.803300000000000125e+01
1.900000000000000000e+02,7.158459331021495586e+01,5.280299999999999727e+01,4.787199999999999989e+01
1.910000000000000000e+02,7.139393896885256652e+01,5.280299999999999727e+01,4.780799999999999983e+01
1.920000000000000000e+02,7.120553227932924756e+01,5.283500000000000085e+01,4.835499999999999687e+01
1.930000000000000000e+02,7.093068252700020082e+01,5.309300000000000352e+01,4.796900000000000119e+01
1.940000000000000000e+02,7.075330827529217004e+01,5.312500000000000000e+01,4.835499999999999687e+01
1.950000000000000000e+02,7.056735179139012359e+01,5.312500000000000000e+01,4.848400000000000176e+01
1.960000000000000000e+02,7.042743584047035199e+01,5.322200000000000131e+01,4.854899999999999949e+01
1.970000000000000000e+02,7.012549143005037422e+01,5.331799999999999784e+01,4.854899999999999949e+01
1.980000000000000000e+02,7.000788474603616862e+01,5.344700000000000273e+01,4.874199999999999733e+01
1.990000000000000000e+02,6.986167764757033183e+01,5.344700000000000273e+01,4.851700000000000301e+01
2.000000000000000000e+02,6.950941328173783518e+01,5.344700000000000273e+01,4.896800000000000352e+01
